:START_ID,:END_ID,:TYPE,value:FLOAT
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/049718,similarity,0.46153846153846156
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/106120,similarity,0.17647058823529416
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/202408,similarity,0.3571428571428571
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/290825,similarity,0.050000000000000044
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/298356,similarity,0.5
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/444828,similarity,0.11764705882352944
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/471730,similarity,0.46153846153846156
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/473744,similarity,0.3529411764705882
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/476960,similarity,0.3571428571428571
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/479113,similarity,0.46153846153846156
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/480418,similarity,0.4285714285714286
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/483032,similarity,0.5
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/485334,similarity,0.3529411764705882
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/487801,similarity,0.30000000000000004
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/492512,similarity,0.3571428571428571
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/494344,similarity,0.2666666666666667
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/497560,similarity,0.3157894736842105
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/500827,similarity,0.19999999999999996
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/512624,similarity,0.4117647058823529
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/512863,similarity,0.33333333333333337
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/522532,similarity,0.2857142857142857
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/524546,similarity,0.3529411764705882
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/526467,similarity,0.5
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/531228,similarity,0.5
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/531988,similarity,0.46153846153846156
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/537175,similarity,0.4666666666666667
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/538496,similarity,0.46153846153846156
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/544395,similarity,0.4375
http://identifiers.org/doi/10.1101/000604,http://identifiers.org/doi/10.1101/552109,similarity,0.4666666666666667
